CompanyName,PreviousClose,LastUpdated,PercentChange,ChangeInPrice,TradeTime,CompanyShortName,Volume,MarketCap,NumberofShares,Dividend,DividendYield,PERatio,FreeFloatinP,EPS2023,BookValuePerShare,CashFlowPerShare,NewsArticle,BuySellHold,52WeekLow,52WeekHigh,Forecast
Ameriprise Financial,311.60,314.81,1.03%,3.21,03:17:08 PM,AMP,"63,798.00",32.63,105.28,1.76,,12.36,99.75,30.45,52.89,38.31,Father-son team with $300M in assets joins Ameriprise branch channel : https://markets.businessinsider.comhttps://seekingalpha.com/news/3957102-father-son-team-with-300m-in-assets-joins-ameriprise-branch-channel?utm_source=businessinsider&utm_medium=referral,"Ameriprise Financial  stock has received a consensus rating of hold. The average rating score is  and is based on 18 buy ratings, 24 hold ratings, and 6 sell ratings.","The low in the last 52 weeks of Ameriprise Financial stock was 219.99. According to the current price, Ameriprise Financial is 143.10% away from the 52-week low.","The high in the last 52 weeks of Ameriprise Financial stock was 357.42. According to the current price, Ameriprise Financial is 88.08% away from the 52-week high.","The 48 analysts offering price forecasts for Ameriprise Financial  have a median target of 314.19, with a high estimate of 401.00 and a low estimate of 220.00. The median estimate represents a 100.20 difference from the last price of 314.81."
AmerisourceBergen,167.40,166.88,-0.31%,-0.52,03:19:41 PM,ABC,"94,589.00",33.86,202.26,1.31,,12.18,83.02,11.64,4.78,13.44,Bergen Brunswig hosts conference call for investors : https://markets.businessinsider.com/news/stocks/amerisourcebergen_conference-1029996642,"AmerisourceBergen  stock has received a consensus rating of buy. The average rating score is  and is based on 19 buy ratings, 13 hold ratings, and 0 sell ratings.","The low in the last 52 weeks of AmerisourceBergen stock was 135.14. According to the current price, AmerisourceBergen is 123.54% away from the 52-week low.","The high in the last 52 weeks of AmerisourceBergen stock was 174.60. According to the current price, AmerisourceBergen is 95.62% away from the 52-week high.","The 32 analysts offering price forecasts for AmerisourceBergen  have a median target of 167.06, with a high estimate of 201.00 and a low estimate of 130.00. The median estimate represents a 99.93 difference from the last price of 166.95."
Ametek,139.21,139.14,-0.05%,-0.08,03:19:42 PM,AME,"78,489.00",31.91,230.28,0.60,,24.66,99.54,5.99,36.59,5.54,Ametek (AME) Receives a Buy from RBC Capital : https://markets.businessinsider.com/news/stocks/ametek-ame-receives-a-buy-from-rbc-capital-1032228607,"Ametek  stock has received a consensus rating of buy. The average rating score is  and is based on 26 buy ratings, 1 hold ratings, and 0 sell ratings.","The low in the last 52 weeks of Ametek stock was 106.24. According to the current price, Ametek is 131.16% away from the 52-week low.","The high in the last 52 weeks of Ametek stock was 148.02. According to the current price, Ametek is 94.14% away from the 52-week high.","The 27 analysts offering price forecasts for Ametek  have a median target of 149.37, with a high estimate of 166.00 and a low estimate of 122.00. The median estimate represents a 93.28 difference from the last price of 139.34."
Amgen,248.07,246.67,-0.56%,-1.40,03:19:47 PM,AMGN,"323,818.00",133.73,533.98,3.67,,14.83,99.79,17.92,11.75,20.33,"Analysts Conflicted on These Healthcare Names: Amgen (AMGN), Resmed (RMD) and Travere Therapeutics (TVTX) : https://markets.businessinsider.com/news/stocks/analysts-conflicted-on-these-healthcare-names-amgen-amgn-resmed-rmd-and-travere-therapeutics-tvtx-1032239087","Amgen  stock has received a consensus rating of hold. The average rating score is Baa1 and is based on 23 buy ratings, 31 hold ratings, and 8 sell ratings.","The low in the last 52 weeks of Amgen stock was 223.30. According to the current price, Amgen is 110.44% away from the 52-week low.","The high in the last 52 weeks of Amgen stock was 296.63. According to the current price, Amgen is 83.14% away from the 52-week high.","The 62 analysts offering price forecasts for Amgen  have a median target of 249.31, with a high estimate of 310.00 and a low estimate of 182.00. The median estimate represents a 98.92 difference from the last price of 246.61."
Amphenol,78.62,78.22,-0.51%,-0.40,03:19:44 PM,APH,"277,717.00",46.54,594.60,1.09,,25.33,99.37,3.00,13.13,3.72,Amphenol hosts conference call for investors : https://markets.businessinsider.com/news/stocks/amphenol_conference-1029579492,"Amphenol  stock has received a consensus rating of hold. The average rating score is  and is based on 9 buy ratings, 12 hold ratings, and 0 sell ratings.","The low in the last 52 weeks of Amphenol stock was 61.68. According to the current price, Amphenol is 126.75% away from the 52-week low.","The high in the last 52 weeks of Amphenol stock was 82.85. According to the current price, Amphenol is 94.36% away from the 52-week high.","The 21 analysts offering price forecasts for Amphenol  have a median target of 82.76, with a high estimate of 97.00 and a low estimate of 70.00. The median estimate represents a 94.46 difference from the last price of 78.18."
Analog Devices,189.57,189.20,-0.20%,-0.38,03:19:48 PM,ADI,"266,487.00",95.52,505.85,1.84,,14.93,99.52,10.75,72.73,11.31,AMD slips even as Citi sees 'positive' sentiment ahead of Q1 results : https://markets.businessinsider.comhttps://seekingalpha.com/news/3956896-amd-nvidia-semi-cap-companies-seeing-positive-sentiment-ahead-of-q1?utm_source=businessinsider&utm_medium=referral,"Analog Devices  stock has received a consensus rating of buy. The average rating score is A3 and is based on 30 buy ratings, 22 hold ratings, and 0 sell ratings.","The low in the last 52 weeks of Analog Devices stock was 133.48. According to the current price, Analog Devices is 141.71% away from the 52-week low.","The high in the last 52 weeks of Analog Devices stock was 198.14. According to the current price, Analog Devices is 95.47% away from the 52-week high.","The 52 analysts offering price forecasts for Analog Devices  have a median target of 192.67, with a high estimate of 251.00 and a low estimate of 140.00. The median estimate represents a 98.17 difference from the last price of 189.16."
ANSYS,320.18,321.20,0.32%,1.02,03:16:47 PM,ANSS,"51,023.00",27.70,87.09,,,30.58,98.57,8.64,62.39,8.15,ANSYS Inc. hosts conference call for investors : https://markets.businessinsider.com/news/stocks/ansys_conference-1029688410,"ANSYS  stock has received a consensus rating of hold. The average rating score is  and is based on 16 buy ratings, 20 hold ratings, and 5 sell ratings.","The low in the last 52 weeks of ANSYS stock was 194.42. According to the current price, ANSYS is 165.10% away from the 52-week low.","The high in the last 52 weeks of ANSYS stock was 333.89. According to the current price, ANSYS is 96.13% away from the 52-week high.","The 41 analysts offering price forecasts for ANSYS  have a median target of 307.80, with a high estimate of 437.00 and a low estimate of 210.00. The median estimate represents a 104.28 difference from the last price of 320.98."
Aon,329.63,332.08,0.74%,2.45,03:19:45 PM,AON,"140,143.00",66.68,205.14,0.80,,22.55,98.82,14.61,4.64,16.29,Aon raises quarterly dividend by 9.8%to $0.615 dividend : https://markets.businessinsider.comhttps://seekingalpha.com/news/3956706-aon-plc-declares-0_615-dividend?utm_source=businessinsider&utm_medium=referral,"Aon  stock has received a consensus rating of hold. The average rating score is  and is based on 7 buy ratings, 26 hold ratings, and 2 sell ratings.","The low in the last 52 weeks of Aon stock was 246.35. According to the current price, Aon is 134.95% away from the 52-week low.","The high in the last 52 weeks of Aon stock was 341.97. According to the current price, Aon is 97.22% away from the 52-week high.","The 35 analysts offering price forecasts for Aon  have a median target of 306.83, with a high estimate of 363.00 and a low estimate of 245.00. The median estimate represents a 108.35 difference from the last price of 332.46."
APA Corporation Registered Shs,39.49,39.51,0.04%,0.02,03:19:52 PM,APA,"777,484.00",12.70,310.95,2.96,,5.90,99.42,5.98,4.42,12.32,Wells Fargo Maintains Overweight Rating for APA: Here's What You Need To Know : https://markets.businessinsider.com/news/stocks/wells-fargo-maintains-overweight-rating-for-apa-here-s-what-you-need-to-know-1032240733,"APA Corporation Registered Shs  stock has received a consensus rating of buy. The average rating score is  and is based on 30 buy ratings, 24 hold ratings, and 1 sell ratings.","The low in the last 52 weeks of APA Corporation Registered Shs stock was 30.15. According to the current price, APA Corporation Registered Shs is 130.88% away from the 52-week low.","The high in the last 52 weeks of APA Corporation Registered Shs stock was 51.95. According to the current price, APA Corporation Registered Shs is 75.96% away from the 52-week high.","The 55 analysts offering price forecasts for APA Corporation Registered Shs  have a median target of 48.91, with a high estimate of 75.00 and a low estimate of 23.00. The median estimate represents a 80.68 difference from the last price of 39.46."
Apple,165.23,166.59,0.83%,1.36,03:19:55 PM,AAPL,,15.82,6.88,0.64,,22.62,99.90,5.96,3.80,6.90,"Disney CEO Bob Iger says his return to company was inspired by Steve Jobs' Apple homecoming, and comebacks need 'unbelievable enthusiasm' : https://markets.businessinsider.com/news/stocks/disney-ceo-bob-iger-comeback-inspired-by-steve-jobs-apple-2023-4","Apple  stock has received a consensus rating of buy. The average rating score is Aaa and is based on 80 buy ratings, 19 hold ratings, and 1 sell ratings.","The low in the last 52 weeks of Apple stock was 124.18. According to the current price, Apple is 134.09% away from the 52-week low.","The high in the last 52 weeks of Apple stock was 176.15. According to the current price, Apple is 94.53% away from the 52-week high.","The 100 analysts offering price forecasts for Apple  have a median target of 177.93, with a high estimate of 220.00 and a low estimate of 90.00. The median estimate represents a 93.58 difference from the last price of 166.51."
Applied Materials,111.79,111.02,-0.69%,-0.77,03:19:47 PM,AMAT,,95.58,845.12,0.88,,11.35,99.58,7.03,17.21,8.28,Applied Materials (AMAT) Gains But Lags Market: What You Should Know : https://markets.businessinsider.com/news/stocks/applied-materials-amat-gains-but-lags-market--what-you-should-know-12352860,"Applied Materials  stock has received a consensus rating of buy. The average rating score is A2 and is based on 61 buy ratings, 28 hold ratings, and 1 sell ratings.","The low in the last 52 weeks of Applied Materials stock was 71.18. According to the current price, Applied Materials is 155.89% away from the 52-week low.","The high in the last 52 weeks of Applied Materials stock was 125.61. According to the current price, Applied Materials is 88.34% away from the 52-week high.","The 90 analysts offering price forecasts for Applied Materials  have a median target of 130.70, with a high estimate of 200.00 and a low estimate of 70.00. The median estimate represents a 84.90 difference from the last price of 110.96."
Aptiv,107.60,107.61,0.01%,0.01,03:19:37 PM,APTV,"199,953.00",29.06,270.95,0.16,,27.42,99.44,4.42,35.54,7.35,Aptiv (ex Delphi Automotive) hosts conference call for investors : https://markets.businessinsider.com/news/stocks/aptiv_conference-1029994201,"Aptiv  stock has received a consensus rating of buy. The average rating score is  and is based on 59 buy ratings, 8 hold ratings, and 4 sell ratings.","The low in the last 52 weeks of Aptiv stock was 77.97. According to the current price, Aptiv is 137.76% away from the 52-week low.","The high in the last 52 weeks of Aptiv stock was 124.86. According to the current price, Aptiv is 86.02% away from the 52-week high.","The 71 analysts offering price forecasts for Aptiv  have a median target of 153.76, with a high estimate of 217.00 and a low estimate of 90.00. The median estimate represents a 69.86 difference from the last price of 107.41."
Archer Daniels Midland,82.20,82.49,0.35%,0.29,03:19:19 PM,ADM,"251,938.00",44.90,548.01,2.20,,11.87,99.27,6.92,45.98,7.70,"Harpe Bioherbicide Solutions, Inc. Closes New Investment Round, Including ADM : https://markets.businessinsider.com/news/stocks/harpe-bioherbicide-solutions-inc-closes-new-investment-round-including-adm-1032239551","Archer Daniels Midland  stock has received a consensus rating of hold. The average rating score is  and is based on 9 buy ratings, 10 hold ratings, and 0 sell ratings.","The low in the last 52 weeks of Archer Daniels Midland stock was 70.02. According to the current price, Archer Daniels Midland is 117.80% away from the 52-week low.","The high in the last 52 weeks of Archer Daniels Midland stock was 98.88. According to the current price, Archer Daniels Midland is 83.42% away from the 52-week high.","The 19 analysts offering price forecasts for Archer Daniels Midland  have a median target of 86.00, with a high estimate of 117.00 and a low estimate of 55.00. The median estimate represents a 95.91 difference from the last price of 82.49."
Arista Networks,163.42,162.32,-0.67%,-1.10,03:19:54 PM,ANET,"175,736.00",50.21,306.40,0.00,,26.44,77.12,5.82,19.80,5.83,Arista Networks Inc hosts conference call for investors : https://markets.businessinsider.com/news/stocks/arista_networks_conference-1030850255,"Arista Networks  stock has received a consensus rating of buy. The average rating score is  and is based on 46 buy ratings, 30 hold ratings, and 0 sell ratings.","The low in the last 52 weeks of Arista Networks stock was 89.13. According to the current price, Arista Networks is 182.25% away from the 52-week low.","The high in the last 52 weeks of Arista Networks stock was 171.43. According to the current price, Arista Networks is 94.76% away from the 52-week high.","The 76 analysts offering price forecasts for Arista Networks  have a median target of 214.92, with a high estimate of 540.00 and a low estimate of 108.00. The median estimate represents a 75.58 difference from the last price of 162.44."
Arthur J. Gallagher,203.24,206.52,1.61%,3.28,03:19:40 PM,AJG,"118,414.00",42.59,212.09,1.19,,24.34,98.83,8.77,49.29,6.62,What 8 Analyst Ratings Have To Say About Arthur J. Gallagher : https://markets.businessinsider.com/news/stocks/what-8-analyst-ratings-have-to-say-about-arthur-j-gallagher-1032239776,"Arthur J. Gallagher  stock has received a consensus rating of buy. The average rating score is  and is based on 30 buy ratings, 22 hold ratings, and 1 sell ratings.","The low in the last 52 weeks of Arthur J. Gallagher stock was 148.33. According to the current price, Arthur J. Gallagher is 139.20% away from the 52-week low.","The high in the last 52 weeks of Arthur J. Gallagher stock was 206.82. According to the current price, Arthur J. Gallagher is 99.83% away from the 52-week high.","The 53 analysts offering price forecasts for Arthur J. Gallagher  have a median target of 189.09, with a high estimate of 233.00 and a low estimate of 133.00. The median estimate represents a 109.19 difference from the last price of 206.48."
Elevance Health,484.29,483.73,-0.12%,-0.56,03:19:15 PM,ELV,"78,773.00",115.24,237.46,1.20,,17.50,99.61,32.79,180.56,33.66,Elevance Health Q1 2023 Earnings Preview : https://markets.businessinsider.comhttps://seekingalpha.com/news/3957409-elevance-health-q1-2023-earnings-preview?utm_source=businessinsider&utm_medium=referral,"Elevance Health  stock has received a consensus rating of buy. The average rating score is  and is based on 40 buy ratings, 16 hold ratings, and 0 sell ratings.","The low in the last 52 weeks of Elevance Health stock was 440.29. According to the current price, Elevance Health is 109.96% away from the 52-week low.","The high in the last 52 weeks of Elevance Health stock was 549.35. According to the current price, Elevance Health is 88.13% away from the 52-week high.","The 56 analysts offering price forecasts for Elevance Health  have a median target of 497.71, with a high estimate of 625.00 and a low estimate of 71.00. The median estimate represents a 97.28 difference from the last price of 484.16."
